Date,Time (PST),Group,PaymentMethod,Gross,Fees,Net
2/14/24,8:30:19,Control,PayPal,$25.00 ,($0.99),$24.01 
2/14/24,8:32:55,Control,PayPal,$5.00 ,($0.59),$4.41 
2/14/24,8:36:35,Control,PayPal,$26.01 ,($1.01),$25.00 
2/14/24,8:45:47,Control,PayPal,$10.00 ,($0.69),$9.31 
2/14/24,8:45:58,Control,PayPal,$26.01 ,($1.01),$25.00 
2/14/24,8:46:04,Control,PayPal,$10.70 ,($0.70),$10.00 
2/14/24,8:47:13,Treatment,PayPal,$10.00 ,($0.69),$9.31 
2/14/24,8:48:10,Control,PayPal,$5.60 ,($0.60),$5.00 
2/14/24,9:27:36,Control,PayPal,$10.70 ,($0.70),$10.00 
2/14/24,9:30:16,Control,PayPal,$10.00 ,($0.69),$9.31 
2/14/24,9:53:07,Control,PayPal,$5.00 ,($0.59),$4.41 
2/14/24,11:10:28,Treatment,PayPal,$5.60 ,($0.60),$5.00 
2/14/24,12:33:40,Treatment,PayPal,$5.60 ,($0.60),$5.00 
2/15/24,12:29:52,Control,PayPal,$10.70 ,($0.70),$10.00 
2/20/24,7:41:25,Control,PayPal,$100.00 ,($2.48),$97.52 
2/14/24,11:03:00,Control,StripeDonation,$25.00 ,$0.00 ,$25.00 
2/16/24,23:31:00,Control,StripeDonation,$100.00 ,$0.00 ,$100.00 
2/17/24,16:36:00,Control,StripeDonation,$50.00 ,$0.00 ,$50.00 